zhat,log,k_0,k_1,k_2,k_3,k_4
4.0,14.267929312196845,5.576941851043814e-21,0.0,1.1275970108563969e-24,6.872413710715985e-08,0.9999999312758618
4.0,13.198315548671806,1.7167803635618227e-20,0.0,3.9076799021566615e-24,1.7479832458132447e-07,0.9999998252016742
4.0,12.47086733266218,1.163612597979872e-19,0.0,9.482050960445249e-29,1.092143400587634e-07,0.9999998907856587
4.0,12.087913022711207,1.5260548626995477e-21,0.0,2.6196200728186475e-18,1.1509885148650313e-06,0.9999988490114841
4.0,12.812362189588349,3.6938776842327044e-23,0.0,3.791639645691959e-31,6.538332869599147e-10,0.9999999993461656
4.0,12.125329211201553,1.6265534269798686e-26,0.0,1.9472246252680068e-30,7.542028485703683e-09,0.9999999924579703
4.0,12.456761124039803,6.758457168885538e-23,0.0,2.7562714964445804e-31,3.6057055511250677e-10,0.9999999996394281
4.0,14.140606326990095,8.972303756425947e-24,0.0,3.5134146225918163e-15,4.78200955144178e-06,0.9999952179904438
4.0,12.320203417569637,1.8204730692699836e-23,0.0,9.236064049710853e-39,1.422493205631448e-10,0.9999999998577496
4.0,13.874597241686311,1.638868804348678e-28,0.0,1.4398619189691223e-31,9.143389260088998e-09,0.9999999908566098
4.0,11.181292613483311,2.0447854648605438e-29,0.0,1.1336656640670392e-41,5.3347097374001164e-11,0.999999999946652
4.0,12.134483071064857,5.192485365261993e-30,0.0,3.5179155817054834e-41,4.435098176249602e-11,0.999999999955648
4.0,13.177921138007989,1.5241707953844689e-28,0.0,5.687888485551051e-34,1.8752127462019703e-09,0.9999999981247862
4.0,13.504658484369441,1.0199457777674963e-25,0.0,1.3043439015627215e-33,1.7859839404716795e-09,0.999999998214015
4.0,14.718952550616443,8.993411310039616e-27,0.0,1.7517997162585115e-26,2.7550139534981374e-08,0.9999999724498595
4.0,12.3354224753291,1.8160652752076397e-26,0.0,9.534818891569663e-39,1.5691958941925156e-10,0.9999999998430795
4.0,13.093067453551061,5.322173510020939e-27,0.0,2.348853620557671e-29,4.4220549988161275e-09,0.999999995577944
4.0,13.10702869577476,9.528938706111602e-25,0.0,1.902377673004238e-29,5.008699724060173e-09,0.9999999949912993
4.0,13.40116390481391,5.16915182394027e-24,0.0,2.390221294272835e-27,2.9631337901679828e-08,0.9999999703686612
4.0,13.248622938512836,2.583717710772037e-23,0.0,1.1816279482848417e-27,2.547271286848221e-08,0.999999974527286
4.0,13.130665554507898,2.4256267802557212e-23,0.0,1.1689280700133317e-28,2.4076511529852157e-08,0.9999999759234873
4.0,13.409920356972172,8.122264367332672e-24,0.0,3.423144513054192e-29,2.8895435506277086e-08,0.9999999711045633
4.0,12.735955525042957,3.2335675159317107e-22,0.0,1.79522028204741e-30,1.0179342735875938e-08,0.999999989820656
4.0,13.529522356014335,4.335622596286574e-22,0.0,3.7400218585318025e-21,3.6721276457063766e-07,0.9999996327872342
4.0,13.236555489812979,2.0983226863149318e-21,0.0,7.309041564684657e-25,5.3617866885535506e-08,0.999999946382132
4.0,14.826724920179055,1.7838994753869647e-21,0.0,1.0059587001307947e-24,4.8019477014854865e-08,0.9999999519805219
4.0,15.364018698593334,1.6380753969123234e-19,0.0,3.0451871179438515e-21,3.0040545042138067e-07,0.9999996995945485
4.0,14.740544991490317,3.2850762852075124e-18,0.0,3.028443054095646e-17,1.7298161057543663e-06,0.9999982701838932
4.0,14.740446019559116,1.7893023763162717e-16,0.0,3.0289037941474766e-17,1.7973172988999249e-06,0.9999982026826998
4.0,14.219008698992681,2.5058105558782103e-14,0.0,1.1732909873779403e-10,1.69849884398255e-05,0.999983014894205
4.0,14.52747814206229,1.3998263523679093e-12,0.0,6.147441218576484e-15,6.841218514681542e-05,0.9999315878134464
4.0,14.526919332371072,4.0820870345288755e-11,0.0,1.0865010809304898e-14,0.0008732391581244549,0.9991267608010431
4.0,15.041790292883613,1.8491114704747123e-09,0.0,5.103148141940248e-05,0.016100087756916705,0.9838488789125518
4.0,15.535050953094101,6.635084629220242e-08,0.0,0.0005019797574922416,0.10022634679538685,0.8992716070962741
3.0,14.218482461173634,5.295593394806168e-06,0.0,0.0025563087153649307,0.7094114203256024,0.28802697536563726
3.0,14.091187642784444,4.313431708719653e-05,0.0,0.0009984427579010945,0.8662974833653284,0.13266093955968267
3.0,12.869863078207619,0.0005975812389040509,0.0,0.00015193613109241576,0.9529970180133682,0.04625346461663455
3.0,12.669882658775043,0.011947779384440155,0.0,1.2866736382459186e-07,0.9854765530753399,0.0025755388728554355
3.0,14.733055018625635,0.03441531780618348,0.0,2.792014549469512e-06,0.9652811939005733,0.00030069627869301656
3.0,15.406564948461948,0.10689484791849482,0.0,2.189632856459357e-09,0.8930624728156242,4.267707624722433e-05
3.0,14.476748348142609,0.3023470769387402,0.0,2.1941460298795974e-10,0.697650830335306,2.0925065383627534e-06
0.0,12.809972595534724,0.928172046431198,0.0,1.4165916426871177e-15,0.07182732893443672,6.246343629440277e-07
0.0,14.131359326995394,0.9781414732828716,0.0,7.477134163330343e-18,0.02185823871352762,2.88003600009201e-07
0.0,16.011170389425686,0.9827849070120742,0.0,1.4243056664954851e-11,0.017214945791597686,1.471820841815595e-07
0.0,16.436689772705325,0.9955956100096139,0.0,9.730963500652426e-17,0.004404378098104895,1.1892280532481909e-08
0.0,16.776855395421084,0.9990852840797505,0.0,6.621307794422318e-17,0.00091471468313522,1.237113661606698e-09
0.0,16.5872243267368,0.9998963156471096,0.0,1.6011124394254478e-17,0.00010368421226468435,1.4062520368866153e-10
0.0,16.8690986727217,0.9999567594653456,0.0,2.0358815409311078e-17,4.32404866962792e-05,4.7957701179883665e-11
0.0,14.952931877297107,0.9998876837558951,0.0,2.448006660847841e-24,0.00011231620420425557,3.9900170328481597e-11
0.0,15.514788077247724,0.9994792783974528,0.0,4.562101843635721e-19,0.0005207212610797025,3.4146688132167406e-10
0.0,14.806858211821046,0.9998557600524373,0.0,2.2072309401687157e-24,0.00014423918781460577,7.597475648287745e-10
0.0,15.040234289482509,0.9999296810336779,0.0,1.3366297429589108e-24,7.031896227182026e-05,4.049702902903669e-12
0.0,17.373047212750002,0.9999989340917664,0.0,3.7309130822888057e-32,1.0659082241084014e-06,8.949067820311167e-15
